,id,collection,file,date,year,month,day,time,duration,country,channel,title,video_resolution,video_resolution_original,language,recording_location,original_broadcast_date,original_broadcast_time,original_broadcast_timezone,local_broadcast_date,local_broadcast_time,local_broadcast_timezone
0,t__5ff7b916_b023_11e5_b4fa_2c600c9500f4,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0000_US_CNN_Erin_Burnett_Out_Front.txt,2016-01-01,2016,01,01,0000,0:59:54.75,US,CNN,Erin Burnett Out Front,640x352,1920x1088,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,16:00,America/Los_Angeles
1,t__4db8fe22_b023_11e5_ab23_089e01ba0338,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0000_US_FOX-News_On_the_Record_with_Greta_Van_Susteren.txt,2016-01-01,2016,01,01,0000,0:59:53.65,US,FOX_News,On the Record with Greta Van Susteren,640x352,1920x1088,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,16:00,America/Los_Angeles
2,t__40752f4c_b023_11e5_88f7_089e01ba034d,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0000_US_KNBC_The_Ellen_DeGeneres_Show.txt,2016-01-01,2016,01,01,0000,0:59:53.28,US,KNBC,The Ellen DeGeneres Show,640x352,1920x1080,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,16:00,America/Los_Angeles
3,t__09f5fa64_b023_11e5_805f_089e01ba0326,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0000_US_MSNBC_Hardball_with_Chris_Matthews.txt,2016-01-01,2016,01,01,0000,0:59:53.99,US,MSNBC,Hardball with Chris Matthews,640x480,720x480,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,16:00,America/Los_Angeles
4,t__c8b52e0a_b025_11e5_8725_5b31ebbe32ed,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0000_US_WKYC_Channel_3_News_at_7.txt,2016-01-01,2016,01,01,0000,0:30:00.100,US,WKYC,Channel 3 News at 7,480x360,,ENG,CWRU Cleveland cmm,N/A,N/A,N/A,2015-12-31,18:59,America/New_York
5,t__30ca3408_b027_11e5_9a4a_089e01ba0326,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0100_UK_KCET_BBC_World_News_America.txt,2016-01-01,2016,01,01,0100,0:29:55.14,UK,KCET,BBC World News America,640x480,720x480,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,17:00,America/Los_Angeles
6,t__d3d54c56_b02b_11e5_968b_089e01ba0338,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0100_US_CNN_Anderson_Cooper_360.txt,2016-01-01,2016,01,01,0100,0:59:53.72,US,CNN,Anderson Cooper 360,640x352,1920x1088,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,17:00,America/Los_Angeles
7,t__d8ce408c_b02b_11e5_82aa_089e01ba0338,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0100_US_FOX-News_The_OReilly_Factor.txt,2016-01-01,2016,01,01,0100,0:59:55.36,US,FOX_News,The OReilly Factor,640x352,1920x1088,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,17:00,America/Los_Angeles
8,t__7cb3f2ba_b02b_11e5_b91f_089e01ba0770,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0100_US_HLN_Nancy_Grace.txt,2016-01-01,2016,01,01,0100,0:59:55.19,US,HLN,Nancy Grace,640x480,720x480,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,17:00,America/Los_Angeles
9,t__a682d764_b02b_11e5_a264_089e01ba0335,"Communication Studies Archive, UCLA",/db/tv/2016/2016-01/2016-01-01/2016-01-01_0100_US_KABC_Eyewitness_News_5PM.txt,2016-01-01,2016,01,01,0100,0:59:53.51,US,KABC,Eyewitness News 5PM,640x352,1280x720,ENG,UCLA Library,N/A,N/A,N/A,2015-12-31,17:00,America/Los_Angeles
